X,Y,objectid,feature_type,industry_id,station_name,station_owner,station_description,station_address,station_suburb,station_postcode,station_state,operational_status,spatial_confidence,gnaf_assignment_method,station_revised_date,gnaf_formatted_address,gnaf_address_detail_pid,gnaf_confidence,gnaf_suburb,gnaf_postcode,distance_to_gnaf
115.741388,-32.289749,15,PETROL STATION,6172,BP CONNECT ROCKINGHAM PARK,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 CHALGROVE AVENUE,ROCKINGHAM,6168,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2 CHALGROVE AVENUE,GAWA_146840742,0,ROCKINGHAM,6168,0.2
116.474331,-32.802381,16,PETROL STATION,5837,BODDINGTON ,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,38 BANNISTER ROAD,BODDINGTON,6390,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,38 BANNISTER ROAD,GAWA_160792538,2,BODDINGTON,6390,14.19999981
115.905523527,-31.987794159,17,PETROL STATION,,VICTORIA PARK,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,916 ALBANY HIGHWAY,VICTORIA PARK,6101,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,916 ALBANY HIGHWAY,GAWA_147692175,1,EAST VICTORIA PARK,6101,5.9000001
115.781843,-32.199892,18,PETROL STATION,,BP NAVAL BASE,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1351 ROCKINGHAM ROAD,NAVAL BASE,6165,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1351 ROCKINGHAM ROAD,GAWA_147256206,1,NAVAL BASE,6165,30.70000076
114.628735609,-28.751175454,19,PETROL STATION,55447,CALTEX GERALDTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,120 FLORES ROAD,WEBBERTON,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,120 FLORES ROAD,GAWA_147217573,1,WEBBERTON,6530,48.70000076
115.827751,-31.801955,20,PETROL STATION,,7-ELEVEN WANGARA,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,79 GNANGARA ROAD,WANGARA,6065,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,79 GNANGARA ROAD,GAWA_147389464,1,WANGARA,6065,41.29999924
116.031763,-31.765846,21,PETROL STATION,,VIBE UPPER SWAN IGA XPRESS,VIBE,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1447 GREAT NORTHERN HIGHWAY,UPPER SWAN,6069,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,1447 GREAT NORTHERN HIGHWAY,GAWA_163047922,2,UPPER SWAN,6069,28.29999924
115.846548,-32.1200009999999,22,PETROL STATION,,7-ELEVEN COCKBURN CENTRAL,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,814 NORTH LAKE ROAD,COCKBURN CENTRAL,6164,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,814 NORTH LAKE ROAD,GAWA_718878124,1,COCKBURN CENTRAL,6164,19.10000038
114.61118,-28.7758929999999,23,PETROL STATION,,WOOLWORTHS CALTEX GERALDTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,59 CATHEDRAL AVENUE,GERALDTON,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,59 CATHEDRAL AVENUE,GAWA_146998012,1,GERALDTON,6530,0.30000001
115.987368,-31.7774669999999,24,PETROL STATION,,CALTEX WOOLWORTHS AVELEY,CALTEX WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,317 MILLHOUSE ROAD,AVELEY,6069,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,317 MILLHOUSE ROAD,GAWA_719365410,1,AVELEY,6069,9.69999981
115.09883,-34.202217,25,PETROL STATION,,AMPOL KARRIDALE,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,12440 BUSSELL HIGHWAY,KARRIDALE,6288,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,12440 BUSSELL HIGHWAY,GAWA_162682879,2,KARRIDALE,6288,1.70000005
115.974995,-31.9816109999999,26,PETROL STATION,2498,BP KEWDALE TRUCKSTOP,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,554 ABERNETHY ROAD,KEWDALE,6105,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,554 ABERNETHY ROAD,GAWA_146910692,0,KEWDALE,6105,86.40000153
115.889889,-31.8878319999999,27,PETROL STATION,,VIBE MORLEY,VIBE,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,430 MORLEY DRIVE,MORLEY,6062,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,430 MORLEY DRIVE,GAWA_146597657,2,MORLEY,6062,2.9000001
115.779519,-32.075531,28,PETROL STATION,,PUMA HAMILTON HILL,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,224 CLONTARF ROAD,HAMILTON HILL,6163,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,224 CLONTARF ROAD,GAWA_146769121,2,HAMILTON HILL,6163,14
114.629344,-28.7844069999999,29,PETROL STATION,,CALTEX GERALDTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,50 RIFLE RANGE ROAD,RANGEWAY,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,50 RIFLE RANGE ROAD,GAWA_147048526,1,RANGEWAY,6530,0.69999999
120.126057,-33.9439159999999,30,PETROL STATION,,INDEPENDENT HOPETOUN,INDEPENDENT FUEL SUPPLIES,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,97 VEAL STREET,HOPETOUN,6348,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,25/07/2011,97 VEAL STREET,GAWA_160805596,1,HOPETOUN,6348,1.5
115.848153,-32.2322109999999,31,PETROL STATION,,COLES EXPRESS CASUARINA,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 JOHNSON ROAD,BERTRAM,6167,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,1 JOHNSON ROAD,GAWA_147272853,1,BERTRAM,6167,2.20000005
115.342621,-33.649558,32,PETROL STATION,,WOOLWORTHS CALTEX BUSSELTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,36 DUCHESS STREET,BUSSELTON,6280,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,36 DUCHESS STREET,GAWA_146962858,2,BUSSELTON,6280,2
115.780215,-32.235848,33,PETROL STATION,,ATLAS FUEL KWINANA,ATLAS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 MANDURAH ROAD,KWINANA BEACH,6167,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1 MANDURAH ROAD,GAWA_146785888,1,KWINANA BEACH,6167,28.20000076
115.896712,-32.038394,34,PETROL STATION,,CALTEX WOOLWORTHS RIVERTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,268 HIGH ROAD,RIVERTON,6148,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,268 HIGH ROAD,GAWA_146791525,0,RIVERTON,6148,0.5
115.780931,-32.0749259999999,35,PETROL STATION,,UNITED HAMILTON HILL,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,9 WINTERFOLD ROAD,HAMILTON HILL,6163,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,9 WINTERFOLD ROAD,GAWA_147132113,1,HAMILTON HILL,6163,17.5
115.777477,-32.276643,36,PETROL STATION,,7-ELEVEN ROCKINGHAM,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,129 DIXON ROAD,EAST ROCKINGHAM,6168,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,129 DIXON ROAD,GAWA_162980754,1,EAST ROCKINGHAM,6168,26
115.862362,-31.999152,37,PETROL STATION,,PUMA COMO,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,393 CANNING HIGHWAY,COMO,6152,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,393 CANNING HIGHWAY,GAWA_146739881,1,COMO,6152,5.80000019
115.440519,-29.1903879999999,38,PETROL STATION,,INDEPENDENT MINGENEW,INDEPENDENT FUEL SUPPLIES,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,46 MIDLANDS ROAD,MINGENEW,6522,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,46 MIDLANDS ROAD,GAWA_161905282,2,MINGENEW,6522,0.2
119.750472,-21.1747779999999,39,PETROL STATION,,AMPOL MARBLE BAR,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,40 HALSE ROAD,MARBLE BAR,6760,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,40 HALSE ROAD,GAWA_147053914,2,MARBLE BAR,6760,36
121.330436,-28.885327,40,PETROL STATION,,INDEPENDENT LEONORA,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,52 TOWER STREET,LEONORA,6438,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,52 TOWER STREET,GAWA_147059954,1,LEONORA,6438,10.30000019
114.603681,-28.7770629999999,41,PETROL STATION,,CALTEX GERALDTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,295 MARINE TERRACE,GERALDTON,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,295 MARINE TERRACE,GAWA_146992704,1,GERALDTON,6530,0.80000001
115.977502,-32.049324,42,PETROL STATION,,CALTEX WOOLWORTHS MADDINGTON WEST,CALTEX WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,207 BURSLEM DRIVE,MADDINGTON,6109,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,207 BURSLEM DRIVE,GAWA_146811072,1,MADDINGTON,6109,7.0999999
115.713732,-31.6936719999999,43,PETROL STATION,,PUMA MINDARIE,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,22 ANCHORAGE DRIVE,MINDARIE,6030,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,22 ANCHORAGE DRIVE,GAWA_147173205,1,MINDARIE,6030,6.5
115.783081,-32.093152,44,PETROL STATION,,PUMA HAMILTON HILL SOUTH,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,216 ROCKINGHAM ROAD,HAMILTON HILL,6163,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,216 ROCKINGHAM ROAD,GAWA_147283061,1,HAMILTON HILL,6163,5.5999999
115.869933,-31.9554499999999,45,PETROL STATION,,CALTEX PERTH,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,141 WELLINGTON STREET,EAST PERTH,6004,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,141 WELLINGTON STREET,GAWA_146657494,1,EAST PERTH,6004,1.20000005
115.762934,-32.4471349999999,46,PETROL STATION,,COLES EXPRESS SINGLETON,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2514 MANDURAH ROAD,SINGLETON,6175,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2514 MANDURAH ROAD,GAWA_162266180,1,SINGLETON,6175,22.89999962
115.904396,-32.038987,47,PETROL STATION,6186,BP CONNECT RIVERTON,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,339 HIGH ROAD,PARKWOOD,6147,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,339 HIGH ROAD,GAWA_146814109,1,PARKWOOD,6147,4.9000001
115.930681,-31.9943269999999,48,PETROL STATION,,VIBE WELSHPOOL,VIBE,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,124 WELSHPOOL ROAD,WELSHPOOL,6106,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,124 WELSHPOOL ROAD,GAWA_148194362,1,WELSHPOOL,6106,14.19999981
115.715429,-31.6892369999999,49,PETROL STATION,,CALTEX WOOLWORTHS CLARKSON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,7 OCEAN KEYS BOULEVARD,CLARKSON,6030,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,7 OCEAN KEYS BOULEVARD,GAWA_147207603,1,CLARKSON,6030,1.39999998
115.956034,-31.983511,50,PETROL STATION,,CALTEX KEWDALE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 FENTON STREET,KEWDALE,6105,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2 FENTON STREET,GAWA_146679573,1,KEWDALE,6105,1.10000002
114.722339,-28.782181,51,PETROL STATION,,INDEPENDENT MOONYOONOOKA,INDEPENDENT FUEL SUPPLIES,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,753 GERALDTON-MOUNT MAGNET ROAD,MOONYOONOOKA,6532,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,753 GERALDTON-MOUNT MAGNET ROAD,GAWA_162244609,2,MOONYOONOOKA,6532,29
114.940392,-29.2518469999999,52,PETROL STATION,6350,BP DONGARA,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,30373 BRAND HIGHWAY,DONGARA,6525,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,30373 BRAND HIGHWAY,GAWA_161999914,2,DONGARA,6525,6.80000019
115.562498,-33.5522769999999,53,PETROL STATION,,AMPOL CAPEL,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,84 CAPEL DRIVE,CAPEL,6271,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,84 CAPEL DRIVE,GAWA_146944096,2,CAPEL,6271,8.30000019
115.689599,-31.636611,54,PETROL STATION,,BP JINDALEE,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 ABELLO BOULEVARD,JINDALEE,6036,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,2 ABELLO BOULEVARD,GAWA_720278215,0,JINDALEE,6036,22.39999962
116.209053,-31.8784939999999,55,PETROL STATION,,VIBE MT HELENA IGA XPRESS,VIBE,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,9 MCVICAR PLACE,MOUNT HELENA,6082,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,9 MCVICAR PLACE,GAWA_147149136,1,MOUNT HELENA,6082,31.79999924
116.064281,-31.9913339999999,56,PETROL STATION,,PUMA LESMURDIE,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,194 CANNING ROAD,LESMURDIE,6076,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,194 CANNING ROAD,GAWA_146743339,1,LESMURDIE,6076,11.39999962
115.79836,-32.56719,57,PETROL STATION,,CALTEX FURNISSDALE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,868 PINJARRA ROAD,FURNISSDALE,6209,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,868 PINJARRA ROAD,GAWA_160929681,1,FURNISSDALE,6209,0
117.006165,-31.632463,58,PETROL STATION,,MECKERING ROADHOUSE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,31 DREYER STREET,MECKERING,6405,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,31 DREYER STREET,GAWA_149105497,1,MECKERING,6405,0.1
115.952095,-32.06954,59,PETROL STATION,,7-ELEVEN THORNLIE,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,125 MURDOCH ROAD,THORNLIE,6108,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,125 MURDOCH ROAD,GAWA_162578355,1,THORNLIE,6108,5.80000019
121.468754,-30.74841,60,PETROL STATION,,WOOLWORTHS CALTEX KALGOORLIE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,104 BROOKMAN STREET,KALGOORLIE,6430,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,104 BROOKMAN STREET,GAWA_147010406,1,KALGOORLIE,6430,12.60000038
115.936881,-31.9863839999999,61,PETROL STATION,,BP WELSHPOOL,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 BALLANTYNE ROAD,KEWDALE,6105,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1 BALLANTYNE ROAD,GAWA_146670607,1,KEWDALE,6105,10.30000019
115.849565,-31.9046109999999,62,PETROL STATION,,PUMA YOKINE,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,398 HECTOR STREET,YOKINE,6060,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,398 HECTOR STREET,GAWA_146649049,1,YOKINE,6060,14
115.933162,-31.965068,63,PETROL STATION,,COLES EXPRESS CLOVERDALE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,223 BELMONT AVENUE,CLOVERDALE,6105,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,223 BELMONT AVENUE,GAWA_146667778,1,CLOVERDALE,6105,0.30000001
115.311682,-33.6573079999999,64,PETROL STATION,,CALTEX BUSSELTON WEST,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,259 BUSSELL HIGHWAY,WEST BUSSELTON,6280,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,259 BUSSELL HIGHWAY,GAWA_146944580,2,WEST BUSSELTON,6280,1.20000005
115.846868,-31.911458,65,PETROL STATION,6234,BP DOG SWAMP,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,4 WANNEROO ROAD,YOKINE,6060,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,4 WANNEROO ROAD,GAWA_161932452,1,YOKINE,6060,1.20000005
115.688754,-31.621433,66,PETROL STATION,,X CONVENIENCE ALKIMOS,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,58 MONTANA CRESCENT,ALKIMOS,6038,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,58 MONTANA CRESCENT,GAWA_719966930,0,ALKIMOS,6038,20.5
116.07568,-32.1820099999999,67,PETROL STATION,,PUMA BEDFORDALE,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,681 ALBANY HIGHWAY,BEDFORDALE,6112,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,681 ALBANY HIGHWAY,GAWA_147075716,2,BEDFORDALE,6112,14.89999962
